City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
140,Kudahuvadhoo,MV,2021-08-01 22:37:55,2.6708,72.8944,82.26,72,98,7.09,overcast clouds
141,Upernavik,GL,2021-08-01 22:43:29,72.7868,-56.1549,42.69,80,20,11.59,few clouds
142,Muskogee,US,2021-08-01 22:43:25,35.5834,-95.3336,89.82,58,40,12.66,scattered clouds
143,Erzin,TR,2021-08-01 22:43:29,36.9559,36.2,79.52,74,0,1.34,clear sky
144,Iquique,CL,2021-08-01 22:37:17,-20.2208,-70.1431,59.04,79,97,3.56,overcast clouds
145,Nouadhibou,MR,2021-08-01 22:43:03,20.931,-17.0347,75.18,73,0,14.97,clear sky
146,Cassilandia,BR,2021-08-01 22:43:30,-19.1133,-51.7342,68.29,37,4,5.06,clear sky
147,Aksu,CN,2021-08-01 22:37:29,41.1231,80.2644,74.52,18,58,6.13,broken clouds
148,Husavik,IS,2021-08-01 22:36:28,66.0449,-17.3389,53.51,72,62,1.54,broken clouds
149,Acapulco,MX,2021-08-01 22:43:30,16.8634,-99.8901,89.42,66,20,11.5,few clouds
150,Tottori,JP,2021-08-01 22:36:03,35.5,134.2333,82.47,69,75,10.36,broken clouds
151,Lasa,IT,2021-08-01 22:35:34,46.6166,10.7002,54.86,94,78,6.51,broken clouds
152,North Bend,US,2021-08-01 22:36:09,43.4065,-124.2243,80.24,86,1,20.71,clear sky
153,Saint-Philippe,RE,2021-08-01 22:36:24,-21.3585,55.7679,67.55,76,49,7.78,scattered clouds
154,High Level,CA,2021-08-01 22:43:31,58.5169,-117.136,89.71,37,20,2.3,few clouds
155,Tera,NE,2021-08-01 22:43:31,14.0078,0.7531,84.22,56,28,13.96,scattered clouds
156,Faanui,PF,2021-08-01 22:35:48,-16.4833,-151.75,77.63,68,30,14.38,scattered clouds
157,Catamarca,AR,2021-08-01 22:36:52,-28.4696,-65.7852,59.05,35,0,7.58,clear sky
158,Great Falls,US,2021-08-01 22:43:31,47.5002,-111.3008,97.92,15,1,11.5,clear sky
159,Thompson,CA,2021-08-01 22:35:29,55.7435,-97.8558,84.36,30,20,4.61,smoke
160,Bethel,US,2021-08-01 22:35:38,41.3712,-73.414,73.76,81,90,4.61,light rain
161,Phek,IN,2021-08-01 22:43:32,25.6667,94.5,59.43,99,83,1.14,broken clouds
162,Uruzgan,AF,2021-08-01 22:43:32,32.8333,66.0,73.27,17,0,4.7,clear sky
163,Methven,NZ,2021-08-01 22:43:33,-43.6333,171.65,43.92,74,19,6.4,few clouds
164,Maniitsoq,GL,2021-08-01 22:34:52,65.4167,-52.9,47.21,80,15,5.93,few clouds
165,Katangli,RU,2021-08-01 22:43:33,51.7102,143.2326,56.1,83,100,5.64,overcast clouds
166,Nioro,GM,2021-08-01 22:41:43,13.35,-15.75,75.88,92,54,7.65,broken clouds
167,Fuling,CN,2021-08-01 22:43:33,29.7022,107.3919,80.06,87,0,2.15,clear sky
168,Sayat,TM,2021-08-01 22:43:34,38.7839,63.8803,76.87,17,4,11.34,clear sky
169,Mahebourg,MU,2021-08-01 22:43:34,-20.4081,57.7,66.49,94,75,8.05,light intensity shower rain
170,Toledo,ES,2021-08-01 22:43:34,39.8333,-4.0,76.08,32,58,5.97,broken clouds
171,Roanoke Rapids,US,2021-08-01 22:43:34,36.4615,-77.6542,87.21,89,1,0.0,clear sky
172,Fort Nelson,CA,2021-08-01 22:35:50,58.8053,-122.7002,89.19,40,1,3.44,smoke
173,Shache,CN,2021-08-01 22:43:35,38.4167,77.2406,72.84,45,100,8.79,overcast clouds
174,Severo-Kurilsk,RU,2021-08-01 22:32:14,50.6789,156.125,56.35,70,1,14.63,clear sky
175,Fairbanks,US,2021-08-01 22:31:00,64.8378,-147.7164,77.34,52,75,3.44,broken clouds
176,Nsanje,MW,2021-08-01 22:43:35,-16.92,35.262,61.63,78,0,1.95,clear sky
177,Craig,US,2021-08-01 22:43:36,40.5153,-107.5464,78.17,46,1,18.41,clear sky
178,Melita,CA,2021-08-01 22:37:25,49.2681,-100.9967,86.95,19,21,4.34,few clouds
179,Marsh Harbour,BS,2021-08-01 22:41:14,26.5412,-77.0636,84.92,72,70,10.42,broken clouds
180,Saint Anthony,US,2021-08-01 22:38:58,45.0205,-93.218,80.94,37,40,5.01,scattered clouds
181,Torbay,CA,2021-08-01 22:35:30,47.6666,-52.7314,66.97,70,40,14.97,scattered clouds
182,Road Town,VG,2021-08-01 22:43:36,18.4167,-64.6167,84.24,74,20,6.91,few clouds
183,Mount Gambier,AU,2021-08-01 22:43:37,-37.8333,140.7667,44.51,87,40,12.66,scattered clouds
184,Qinhuangdao,CN,2021-08-01 22:43:37,39.9317,119.5883,72.63,82,36,6.02,light rain
185,Santana Do Matos,BR,2021-08-01 22:43:37,-5.9575,-36.6556,77.34,60,38,21.54,scattered clouds
186,Pangnirtung,CA,2021-08-01 22:35:31,66.1451,-65.7125,52.99,72,100,3.11,overcast clouds
187,Bredasdorp,ZA,2021-08-01 22:35:28,-34.5322,20.0403,56.52,77,86,3.44,overcast clouds
188,Cherskiy,RU,2021-08-01 22:33:11,68.75,161.3,39.51,73,96,19.64,overcast clouds
189,Bud,US,2021-08-01 22:43:38,39.447,-86.1758,80.55,57,9,10.6,clear sky
190,Avera,US,2021-08-01 22:37:02,33.194,-82.5271,96.67,58,56,13.51,broken clouds
191,Senador Guiomard,BR,2021-08-01 22:43:38,-10.1522,-67.7392,83.95,35,1,5.01,clear sky
192,Eyl,SO,2021-08-01 22:43:39,7.9803,49.8164,81.39,65,45,30.4,scattered clouds
193,Aquiraz,BR,2021-08-01 22:43:39,-3.9014,-38.3911,80.69,80,85,8.79,overcast clouds
194,Bambous Virieux,MU,2021-08-01 22:35:47,-20.3428,57.7575,66.45,94,75,8.05,light intensity shower rain
195,Vestmannaeyjar,IS,2021-08-01 22:35:47,63.4427,-20.2734,53.94,91,92,5.93,overcast clouds
196,Tasiilaq,GL,2021-08-01 22:36:43,65.6145,-37.6368,53.76,77,50,4.88,scattered clouds
197,Wajid,SO,2021-08-01 22:43:40,3.8093,43.2471,71.58,74,63,19.66,broken clouds
198,Kirishi,RU,2021-08-01 22:43:40,59.4471,32.0205,56.77,88,43,4.99,scattered clouds
199,Belmonte,BR,2021-08-01 22:43:40,-15.8631,-38.8828,66.7,68,91,14.7,overcast clouds
200,Salisbury,GB,2021-08-01 22:43:40,51.0693,-1.7957,61.48,90,75,6.91,broken clouds
201,Iqaluit,CA,2021-08-01 22:43:41,63.7506,-68.5145,53.33,76,90,1.99,overcast clouds
202,Westport,US,2021-08-01 22:36:18,41.1415,-73.3579,75.09,60,90,1.01,overcast clouds
203,Bartica,GY,2021-08-01 22:43:41,6.4,-58.6167,79.12,97,87,1.72,overcast clouds
204,Hami,CN,2021-08-01 22:39:09,42.8,93.45,68.04,45,63,6.13,broken clouds
205,Adamas,GR,2021-08-01 22:43:42,36.7333,24.4333,81.82,74,0,7.87,clear sky
206,Komsomolskiy,UZ,2021-08-01 22:43:42,40.4272,71.7189,76.42,29,96,0.89,overcast clouds
207,Lompoc,US,2021-08-01 22:43:42,34.6391,-120.4579,89.13,61,1,16.11,clear sky
208,Raudeberg,NO,2021-08-01 22:43:42,61.9875,5.1352,52.86,77,9,16.42,clear sky
209,Meulaboh,ID,2021-08-01 22:39:40,4.1363,96.1285,74.62,89,100,5.08,overcast clouds
210,Ciudad Guayana,VE,2021-08-01 22:43:43,8.3533,-62.6528,75.65,89,83,3.04,broken clouds
211,Baft,IR,2021-08-01 22:43:43,29.234,56.6057,73.04,39,100,8.99,overcast clouds
212,Hofn,IS,2021-08-01 22:37:24,64.2539,-15.2082,53.65,95,99,3.27,overcast clouds
213,Greeley,US,2021-08-01 22:39:35,40.4233,-104.7091,86.05,36,1,4.0,clear sky
214,Sitka,US,2021-08-01 22:43:44,57.0531,-135.33,64.29,72,75,5.75,broken clouds
215,Jishou,CN,2021-08-01 22:43:44,28.3167,109.7167,78.57,80,5,1.36,clear sky
216,Fort-Shevchenko,KZ,2021-08-01 22:43:44,44.5086,50.263,84.09,39,13,11.07,few clouds
217,Dinghai,CN,2021-08-01 22:43:44,26.2847,119.7936,77.92,86,100,4.7,overcast clouds
218,Altay,CN,2021-08-01 22:43:45,47.8667,88.1167,57.29,56,21,3.65,few clouds
219,Berlevag,NO,2021-08-01 22:43:45,70.8578,29.0864,45.88,94,100,18.7,light rain
220,Longyearbyen,SJ,2021-08-01 22:39:50,78.2186,15.6401,44.44,76,75,13.8,light rain
221,Jilin,CN,2021-08-01 22:43:45,43.0,126.0,69.78,98,100,2.24,light rain
222,Arraial Do Cabo,BR,2021-08-01 22:35:53,-22.9661,-42.0278,64.26,77,0,9.22,clear sky
223,Sorland,NO,2021-08-01 22:36:27,67.667,12.6934,49.28,72,84,12.95,broken clouds
224,Lorengau,PG,2021-08-01 22:43:46,-2.0226,147.2712,85.41,71,29,11.27,scattered clouds
225,Constantine,DZ,2021-08-01 22:36:47,36.365,6.6147,72.81,78,0,10.36,clear sky
226,Zhangye,CN,2021-08-01 22:37:29,38.9342,100.4517,71.29,42,100,16.35,overcast clouds
227,Tuktoyaktuk,CA,2021-08-01 22:35:51,69.4541,-133.0374,69.8,73,75,10.36,broken clouds
228,Alta Floresta,BR,2021-08-01 22:43:46,-9.8756,-56.0861,82.11,32,27,5.35,scattered clouds
229,Sao Filipe,CV,2021-08-01 22:35:52,14.8961,-24.4956,76.01,76,9,4.5,clear sky
230,Provideniya,RU,2021-08-01 22:36:28,64.3833,-173.3,42.91,75,90,20.13,light rain
231,Saint George,US,2021-08-01 22:43:47,37.1041,-113.5841,98.38,27,1,1.01,clear sky
232,Sovetskiy,RU,2021-08-01 22:41:12,61.3614,63.5842,54.18,96,11,6.4,few clouds
233,Rio Grande,BR,2021-08-01 22:43:47,-32.035,-52.0986,46.94,93,18,6.02,few clouds
234,Inverness,GB,2021-08-01 22:43:48,57.4791,-4.224,53.83,77,90,3.44,overcast clouds
235,Baykit,RU,2021-08-01 22:43:48,61.67,96.37,60.19,93,100,1.39,overcast clouds
236,Valdez,EC,2021-08-01 22:43:48,1.2492,-78.9831,78.35,85,11,14.99,few clouds
237,Coquimbo,CL,2021-08-01 22:37:06,-29.9533,-71.3436,55.13,94,75,8.05,broken clouds
238,Mnogovershinnyy,RU,2021-08-01 22:43:49,53.9353,139.9242,59.68,68,99,2.17,overcast clouds
239,Colac,AU,2021-08-01 22:36:46,-38.3333,143.5833,45.63,83,7,7.47,clear sky
240,Barcelos,PT,2021-08-01 22:43:49,41.5388,-8.6151,65.91,96,100,4.5,overcast clouds
241,Havoysund,NO,2021-08-01 22:43:16,70.9963,24.6622,45.48,82,100,9.55,overcast clouds
242,San Carlos,VE,2021-08-01 22:34:09,9.6612,-68.5827,73.81,96,88,2.89,overcast clouds
243,Maridi,SS,2021-08-01 22:43:50,4.9158,29.4742,65.48,98,85,5.41,light rain
244,Zhezkazgan,KZ,2021-08-01 22:43:50,47.8043,67.7144,79.52,31,61,8.68,broken clouds
245,Soeng Sang,TH,2021-08-01 22:43:50,14.4264,102.4606,82.0,79,86,6.78,overcast clouds
246,Nedjo,ET,2021-08-01 22:43:50,9.5046,35.5019,57.18,92,100,1.12,overcast clouds
