City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
342,Eureka,US,71.2,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
343,Kefamenanu,ID,72.55,broken clouds,-9.4467,124.4781,Sokowindo Losmen
345,Labuhan,ID,75.99,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
346,Chalinze,TZ,66.25,few clouds,-6.6378,38.354,Dolphin Guesthouse
348,Juneau,US,73.4,scattered clouds,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
352,Nauta,PE,75.92,broken clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
353,Mankono,CI,69.84,broken clouds,8.0586,-6.1897,Centre d'accueil Emmaüs
362,Kishorganj,BD,77.05,moderate rain,24.4333,90.7667,হুসাইন সেবা হোটেল
365,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
367,Kenai,US,74.03,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
368,Jiaozuo,CN,78.64,light rain,35.2397,113.2331,Days Hotel and Suites Jiaozuo
369,Mrakovo,RU,64.98,broken clouds,52.7161,56.6244,Putnik
373,Barra Do Garcas,BR,77.18,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
374,Arak,IR,73.67,scattered clouds,34.0917,49.6892,خانه سازمانهای غیر دولتی استان مرکزی
376,Dawei,MM,77.0,overcast clouds,14.0833,98.2,Hotel Dawei
380,Manzhouli,CN,61.74,clear sky,49.6,117.4333,Angala International Youth Hostel
381,Nemuro,JP,66.04,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
382,Nikolayevka,RU,68.97,overcast clouds,53.1257,47.2041,"Hotel ""Prestige"""
383,Tanda,IN,77.2,light rain,26.55,82.65,MUMTAZ GANJ TANDA
384,Dungarpur,IN,75.0,moderate rain,23.8333,73.7167,Gayatri Hotel
385,Port Hedland,AU,60.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
386,Santiago De Cao,PE,64.53,fog,-7.9589,-79.2392,Villa Konecta - Alojamiento Familiar
387,Huarmey,PE,66.79,few clouds,-10.0681,-78.1522,Hotel Miramar
388,Kysyl-Syr,RU,70.97,overcast clouds,63.8986,122.7617,
397,Pontianak,ID,76.98,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
399,Baikunthpur,IN,72.07,overcast clouds,23.25,82.55,Hotel Shree Annpurna inn
403,Salitral,PE,78.44,clear sky,-4.8572,-80.6811,Mosoq Inn Puno
408,Mitsamiouli,KM,75.96,clear sky,-11.3847,43.2844,Foyer ADM
415,Arbuzynka,UA,71.29,clear sky,47.9097,31.3196,
416,Valentin Gomez Farias,MX,78.73,broken clouds,28.2167,-106.5833,
418,Afogados Da Ingazeira,BR,66.72,overcast clouds,-7.7508,-37.6392,Hotel Brotas
420,Ngama,TD,75.56,overcast clouds,11.7833,17.1667,
422,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
423,Channel-Port Aux Basques,CA,60.39,clear sky,47.5702,-59.1367,St. Christopher's Hotel
424,Pocone,BR,77.4,clear sky,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
425,Saint-Francois,FR,60.24,clear sky,46.4154,3.9054,Manoir Du Bonheur
426,Goderich,CA,66.9,broken clouds,43.7501,-81.7165,Harmony Inn
431,Gilgit,PK,77.79,broken clouds,35.9221,74.3087,Tourist Hamlet Gilgit
432,Lugovoy,KZ,69.48,broken clouds,42.9472,72.7644,Ж.Д Вокзал Луговая
433,Tabou,CI,76.6,overcast clouds,4.423,-7.3528,hotêl doufoulougou
434,Chardara,KZ,73.65,scattered clouds,41.2547,67.9692,Жанаргул
435,Emirdag,TR,67.73,clear sky,39.0197,31.15,Emirdağ Öğretmenevi
436,Edson,CA,77.14,clear sky,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
439,Kasongo-Lunda,CD,72.79,overcast clouds,-6.4667,16.8167,
442,Luyang,CN,78.17,clear sky,27.6239,110.0989,
443,Batagay-Alyta,RU,63.88,clear sky,67.8006,130.4114,
444,Artyom,AZ,71.74,scattered clouds,40.4723,50.333,Merdan Respect
448,Tabuk,PH,79.65,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
449,Hailun,CN,61.2,overcast clouds,47.45,126.9333,Wanhao Hotel
450,Lanzhou,CN,69.08,few clouds,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
451,Puerto Del Rosario,ES,71.35,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
453,Raga,SS,67.78,overcast clouds,8.4596,25.678,
459,Calabozo,VE,74.3,overcast clouds,8.9242,-67.4293,Hotel Giardini
460,Aguimes,ES,69.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
461,Asekeyevo,RU,67.75,broken clouds,53.5742,52.7972,
462,Kiunga,PG,74.64,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
463,Tarakan,ID,76.5,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
465,Amahai,ID,78.58,few clouds,-3.3333,128.9167,HOTEL ISABELA
466,Yatou,CN,76.53,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
467,Sri Aman,MY,75.25,light rain,1.2376,111.4621,Seri Simanggang Hotel
468,Hibbing,US,74.62,few clouds,47.4272,-92.9377,Americas Best Value Inn Hibbing
471,Tura,IN,73.45,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
472,Florianopolis,BR,60.37,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
476,Kushmurun,KZ,69.69,clear sky,52.4503,64.6311,Gostinitsa Pri Depo
478,Axim,GH,75.67,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
479,Quatre Cocos,MU,66.31,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
480,Tazmalt,DZ,75.94,overcast clouds,36.3868,4.3989,Hôtel Numédia
483,Churapcha,RU,70.97,broken clouds,62.0025,132.4325,
484,Namibe,AO,68.94,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
485,Octeville,FR,60.93,few clouds,49.6261,-1.6435,Hôtel Le Louvre Cherbourg
490,Lashio,MM,69.44,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
491,Sibolga,ID,74.71,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
492,Hambantota,LK,79.05,overcast clouds,6.1241,81.1185,Bungalow 63
496,Moindou,NC,69.75,few clouds,-21.6924,165.677,Gite de la RYAWA
497,Camara De Lobos,PT,72.23,few clouds,32.6333,-16.9667,Golden Residence Hotel
499,Otradnoye,RU,62.56,scattered clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
501,San Juan Del Cesar,CO,76.12,broken clouds,10.7711,-73.0031,Hotel Saraje
502,Shelburne,CA,65.75,moderate rain,44.0787,-80.2041,The Retreat at the Farm
504,Petrolina,BR,75.25,few clouds,-9.3986,-40.5008,JB Hotel
506,Acari,PE,68.05,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
507,Krasnorechenskiy,RU,68.13,overcast clouds,44.6265,135.3532,
509,Paita,PE,67.46,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
511,Bossangoa,CF,68.29,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
512,Richards Bay,ZA,62.35,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
